"","key","year","week","humidity"
"1","Aichi",2013,1,0.00252735228710526
"2","Aichi",2013,2,0.00291717025669559
"3","Aichi",2013,3,0.00301937312229858
"4","Aichi",2013,4,0.00339377536898996
"5","Aichi",2013,5,0.00367579980863194
"6","Aichi",2013,6,0.00343316561429352
"7","Aichi",2013,7,0.00283912786377855
"8","Aichi",2013,8,0.00279988167727802
"9","Aichi",2013,9,0.00327334059797176
"10","Aichi",2013,10,0.00388580041965033
"11","Aichi",2013,11,0.0038832336375192
"12","Aichi",2013,12,0.0052616010089356
"13","Aichi",2013,13,0.00498170806599814
"14","Aichi",2013,14,0.0069003601849291
"15","Aichi",2013,15,0.004025912608439
"16","Aichi",2013,16,0.00626576143841107
"17","Aichi",2013,17,0.00531118357824936
"18","Aichi",2013,18,0.00516049073138895
"19","Aichi",2013,19,0.00613781988426604
"20","Aichi",2013,20,0.00901928338758468
"21","Aichi",2013,21,0.00930858903836294
"22","Aichi",2013,22,0.0112849204116715
"23","Aichi",2013,23,0.010854567144241
"24","Aichi",2013,24,0.0140470862306969
"25","Aichi",2013,25,0.0143785347765878
"26","Aichi",2013,26,0.0132812286445762
"27","Aichi",2013,27,0.015424024617985
"28","Aichi",2013,28,0.0171006843664569
"29","Aichi",2013,29,0.0150233355236578
"30","Aichi",2013,30,0.0165496538685809
"31","Aichi",2013,31,0.0162697651551732
"32","Aichi",2013,32,0.0174441249318308
"33","Aichi",2013,33,0.0160789488582042
"34","Aichi",2013,34,0.0173989736089432
"35","Aichi",2013,35,0.0153749447240841
"36","Aichi",2013,36,0.0162956651407483
"37","Aichi",2013,37,0.0157238596713115
"38","Aichi",2013,38,0.01267108656736
"39","Aichi",2013,39,0.0113174547468905
"40","Aichi",2013,40,0.01138664587084
"41","Aichi",2013,41,0.013281474825143
"42","Aichi",2013,42,0.00835566783005177
"43","Aichi",2013,43,0.0106570304265033
"44","Aichi",2013,44,0.00751209505070001
"45","Aichi",2013,45,0.00729181342364456
"46","Aichi",2013,46,0.00541645108939702
"47","Aichi",2013,47,0.00472117318948843
"48","Aichi",2013,48,0.0045415950416149
"49","Aichi",2013,49,0.00446301676013644
"50","Aichi",2013,50,0.00359591307478013
"51","Aichi",2013,51,0.00397081222710451
"52","Aichi",2013,52,0.00325100838126022
"53","Aichi",2014,1,0.00315911597223466
"54","Aichi",2014,2,0.00293426132937636
"55","Aichi",2014,3,0.00279425458424687
"56","Aichi",2014,4,0.00308578557875356
"57","Aichi",2014,5,0.0034257232766906
"58","Aichi",2014,6,0.00381453544914366
"59","Aichi",2014,7,0.00295909160721675
"60","Aichi",2014,8,0.00231927437452371
"61","Aichi",2014,9,0.00448046800738854
"62","Aichi",2014,10,0.00346707615188143
"63","Aichi",2014,11,0.00334784193745124
"64","Aichi",2014,12,0.00465244597208182
"65","Aichi",2014,13,0.00591301913143762
"66","Aichi",2014,14,0.00562748359311982
"67","Aichi",2014,15,0.00386440517168612
"68","Aichi",2014,16,0.0058276608729204
"69","Aichi",2014,17,0.00652193588682528
"70","Aichi",2014,18,0.00795463904041509
"71","Aichi",2014,19,0.00630406747184916
"72","Aichi",2014,20,0.00792058913965027
"73","Aichi",2014,21,0.00861110805891073
"74","Aichi",2014,22,0.0109606245088352
"75","Aichi",2014,23,0.0120573287073559
"76","Aichi",2014,24,0.0123768967879849
"77","Aichi",2014,25,0.0115623828732215
"78","Aichi",2014,26,0.0132273265732983
"79","Aichi",2014,27,0.0131742632737062
"80","Aichi",2014,28,0.0162759642568685
"81","Aichi",2014,29,0.0164580406102234
"82","Aichi",2014,30,0.0166089976221381
"83","Aichi",2014,31,0.0154812480266216
"84","Aichi",2014,32,0.0178457919385126
"85","Aichi",2014,33,0.0183860887897394
"86","Aichi",2014,34,0.0178114306436087
"87","Aichi",2014,35,0.0157892477479776
"88","Aichi",2014,36,0.0149632302706382
"89","Aichi",2014,37,0.0124334891577149
"90","Aichi",2014,38,0.0100874532345198
"91","Aichi",2014,39,0.011372033317954
"92","Aichi",2014,40,0.0115965719906134
"93","Aichi",2014,41,0.0108134619062655
"94","Aichi",2014,42,0.00830989051553642
"95","Aichi",2014,43,0.00984580377414669
"96","Aichi",2014,44,0.00816712665350917
"97","Aichi",2014,45,0.0073465791103641
"98","Aichi",2014,46,0.00661469777813187
"99","Aichi",2014,47,0.00477257949795544
"100","Aichi",2014,48,0.00734899173539065
"101","Aichi",2014,49,0.0046256819796511
"102","Aichi",2014,50,0.00388676839971547
"103","Aichi",2014,51,0.00326232898083498
"104","Aichi",2014,52,0.00334915674599977
"105","Aichi",2015,1,0.00348146834709157
"106","Aichi",2015,2,0.00333490233545678
"107","Aichi",2015,3,0.00373856078972611
"108","Aichi",2015,4,0.00384316448693697
"109","Aichi",2015,5,0.00285069865984628
"110","Aichi",2015,6,0.00317270069988932
"111","Aichi",2015,7,0.00369331940471242
"112","Aichi",2015,8,0.004659156308163
"113","Aichi",2015,9,0.00415827230005696
"114","Aichi",2015,10,0.00389136478870351
"115","Aichi",2015,11,0.00700610252725845
"116","Aichi",2015,12,0.0035430126769327
"117","Aichi",2015,13,0.00787011612517982
"118","Aichi",2015,14,0.00731838889069862
"119","Aichi",2015,15,0.00662577149825547
"120","Aichi",2015,16,0.0078056048032598
"121","Aichi",2015,17,0.00885286707837717
"122","Aichi",2015,18,0.0092052288910533
"123","Aichi",2015,19,0.00874540556414117
"124","Aichi",2015,20,0.00871638651039257
"125","Aichi",2015,21,0.0102188277581252
"126","Aichi",2015,22,0.0100710972643776
"127","Aichi",2015,23,0.012174029741813
"128","Aichi",2015,24,0.0132455399534406
"129","Aichi",2015,25,0.0134504849400397
"130","Aichi",2015,26,0.0135575649559582
"131","Aichi",2015,27,0.0156023847148995
"132","Aichi",2015,28,0.0177848476810512
"133","Aichi",2015,29,0.0175535786351838
"134","Aichi",2015,30,0.0182044802493813
"135","Aichi",2015,31,0.0185514080416351
"136","Aichi",2015,32,0.0165715819599126
"137","Aichi",2015,33,0.0173355559691258
"138","Aichi",2015,34,0.0160766314974877
"139","Aichi",2015,35,0.0155848003077281
"140","Aichi",2015,36,0.0141375461773414
"141","Aichi",2015,37,0.012383440522249
"142","Aichi",2015,38,0.0128885429807135
"143","Aichi",2015,39,0.0100864373227898
"144","Aichi",2015,40,0.00854756486356157
"145","Aichi",2015,41,0.00851679737142933
"146","Aichi",2015,42,0.00948411093163837
"147","Aichi",2015,43,0.00635236508501523
"148","Aichi",2015,44,0.00750502296720813
"149","Aichi",2015,45,0.00896752662493936
"150","Aichi",2015,46,0.00904583611758373
"151","Aichi",2015,47,0.00637220298974397
"152","Aichi",2015,48,0.00490513875290653
"153","Aichi",2015,49,0.00559369194595748
"154","Aichi",2015,50,0.00522035142909315
"155","Aichi",2015,51,0.00512414843523628
"156","Aichi",2015,52,0.00332000036990931
"157","Aichi",2016,1,0.0041474578973293
"158","Aichi",2016,2,0.00325882906601866
"159","Aichi",2016,3,0.00304237136513928
"160","Aichi",2016,4,0.00352374018560544
"161","Aichi",2016,5,0.00316377709542168
"162","Aichi",2016,6,0.0041485736374892
"163","Aichi",2016,7,0.00403963377830667
"164","Aichi",2016,8,0.00312747917811158
"165","Aichi",2016,9,0.00386649269414629
"166","Aichi",2016,10,0.00586567382458397
"167","Aichi",2016,11,0.00505203306494497
"168","Aichi",2016,12,0.00340895358568678
"169","Aichi",2016,13,0.00543265201922818
"170","Aichi",2016,14,0.00730359816752048
"171","Aichi",2016,15,0.00598542387679744
"172","Aichi",2016,16,0.00768283988912976
"173","Aichi",2016,17,0.00772561570069978
"174","Aichi",2016,18,0.00778183374889565
"175","Aichi",2016,19,0.00998505891261561
"176","Aichi",2016,20,0.0096402848331929
"177","Aichi",2016,21,0.0112828299292486
"178","Aichi",2016,22,0.00945453676843943
"179","Aichi",2016,23,0.0116515908704921
"180","Aichi",2016,24,0.0134134861237496
"181","Aichi",2016,25,0.0146726437889384
