"","key","year","week","temperature"
"1","Aichi",2013,1,1.81850484476831
"2","Aichi",2013,2,3.12732735263687
"3","Aichi",2013,3,3.05759360003804
"4","Aichi",2013,4,3.31263616035107
"5","Aichi",2013,5,4.6537175007775
"6","Aichi",2013,6,3.95058433738222
"7","Aichi",2013,7,2.85601350253648
"8","Aichi",2013,8,2.34502738134608
"9","Aichi",2013,9,4.52446709890683
"10","Aichi",2013,10,8.35258939886582
"11","Aichi",2013,11,8.0615049337611
"12","Aichi",2013,12,11.3104627737255
"13","Aichi",2013,13,10.9058198256589
"14","Aichi",2013,14,13.0091963516732
"15","Aichi",2013,15,9.01388111079919
"16","Aichi",2013,16,14.5870217254814
"17","Aichi",2013,17,11.9447170606295
"18","Aichi",2013,18,13.2191187940284
"19","Aichi",2013,19,16.2644958469902
"20","Aichi",2013,20,19.0895417839936
"21","Aichi",2013,21,20.5343934092554
"22","Aichi",2013,22,20.0810434572606
"23","Aichi",2013,23,20.8395200950486
"24","Aichi",2013,24,23.3630054844303
"25","Aichi",2013,25,22.4223793470374
"26","Aichi",2013,26,21.8614733981047
"27","Aichi",2013,27,24.0289947616423
"28","Aichi",2013,28,28.6137253694322
"29","Aichi",2013,29,25.8989804576579
"30","Aichi",2013,30,26.9244387017501
"31","Aichi",2013,31,26.8934346965806
"32","Aichi",2013,32,28.9650345920339
"33","Aichi",2013,33,29.2444622185791
"34","Aichi",2013,34,28.7248846963612
"35","Aichi",2013,35,25.7288865922724
"36","Aichi",2013,36,24.4158591243719
"37","Aichi",2013,37,25.0557075904837
"38","Aichi",2013,38,22.7462030057573
"39","Aichi",2013,39,22.3053442456005
"40","Aichi",2013,40,22.4699195658767
"41","Aichi",2013,41,23.2844217715014
"42","Aichi",2013,42,16.9071023191428
"43","Aichi",2013,43,17.5460441488692
"44","Aichi",2013,44,14.4212256582441
"45","Aichi",2013,45,14.0896504696418
"46","Aichi",2013,46,9.17943331880699
"47","Aichi",2013,47,8.23686573167425
"48","Aichi",2013,48,7.82927068056757
"49","Aichi",2013,49,7.32699483597771
"50","Aichi",2013,50,5.21038320144497
"51","Aichi",2013,51,5.07979429604266
"52","Aichi",2013,52,3.79101719832439
"53","Aichi",2014,1,3.91976895927085
"54","Aichi",2014,2,2.81485796787649
"55","Aichi",2014,3,2.61946480285854
"56","Aichi",2014,4,3.30908449458203
"57","Aichi",2014,5,5.21066666368331
"58","Aichi",2014,6,3.8807069511441
"59","Aichi",2014,7,3.33143666346903
"60","Aichi",2014,8,2.89574845097354
"61","Aichi",2014,9,7.84832755330732
"62","Aichi",2014,10,4.66198666321001
"63","Aichi",2014,11,5.58739419304175
"64","Aichi",2014,12,8.37932274575722
"65","Aichi",2014,13,12.3979965337628
"66","Aichi",2014,14,11.3919251319461
"67","Aichi",2014,15,10.7864107839512
"68","Aichi",2014,16,14.4585960408925
"69","Aichi",2014,17,13.8405849092696
"70","Aichi",2014,18,16.0424285358526
"71","Aichi",2014,19,15.2890407956681
"72","Aichi",2014,20,17.4419476726091
"73","Aichi",2014,21,17.9272784904388
"74","Aichi",2014,22,21.2032423685895
"75","Aichi",2014,23,21.734833726615
"76","Aichi",2014,24,21.7675667080982
"77","Aichi",2014,25,22.7711297790749
"78","Aichi",2014,26,22.8331787851819
"79","Aichi",2014,27,23.4856011031681
"80","Aichi",2014,28,25.0183870198661
"81","Aichi",2014,29,26.1081628599513
"82","Aichi",2014,30,27.4833349361624
"83","Aichi",2014,31,26.670472418326
"84","Aichi",2014,32,25.7309531213462
"85","Aichi",2014,33,25.4857001541393
"86","Aichi",2014,34,26.8111740510712
"87","Aichi",2014,35,23.6251605504185
"88","Aichi",2014,36,23.6297884893176
"89","Aichi",2014,37,22.1592626881741
"90","Aichi",2014,38,20.8909823694577
"91","Aichi",2014,39,21.5219325380139
"92","Aichi",2014,40,22.2685269261211
"93","Aichi",2014,41,19.6784018982728
"94","Aichi",2014,42,16.5182334041118
"95","Aichi",2014,43,17.142275505494
"96","Aichi",2014,44,15.151489397499
"97","Aichi",2014,45,14.5583785830702
"98","Aichi",2014,46,12.1660692207246
"99","Aichi",2014,47,8.91868738335604
"100","Aichi",2014,48,12.4165448900135
"101","Aichi",2014,49,6.88848900319699
"102","Aichi",2014,50,5.54467249242858
"103","Aichi",2014,51,2.21281657281762
"104","Aichi",2014,52,3.47226636562634
"105","Aichi",2015,1,4.199173608257
"106","Aichi",2015,2,4.18110392725874
"107","Aichi",2015,3,4.84332227147205
"108","Aichi",2015,4,4.85756662669368
"109","Aichi",2015,5,3.59452854399193
"110","Aichi",2015,6,2.53418598869196
"111","Aichi",2015,7,5.35516625998267
"112","Aichi",2015,8,8.03024214169616
"113","Aichi",2015,9,6.7520466869014
"114","Aichi",2015,10,5.62740304484545
